City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,istgah-e rah ahan-e garmsar,35.2346,52.3094,293.95,23,77,2.22,IR,1698612586
323,richards bay,-28.783,32.0377,289.93,55,100,7.2,ZA,1698612428
324,shush,32.1942,48.2436,298.51,24,100,1.3,IR,1698612586
325,altai,46.3722,96.2583,274.02,68,84,9.11,MN,1698612482
326,luwuk,-0.9516,122.7875,297.38,85,49,1.57,ID,1698612331
327,constantia,44.1833,28.65,286.53,64,0,3.44,RO,1698612456
328,laojunmiao,39.8333,97.7333,280.79,29,70,2.31,CN,1698612587
329,thinadhoo,0.5333,72.9333,300.51,78,99,6.88,MV,1698612444
330,juan griego,11.0817,-63.9655,303.42,69,73,2.65,VE,1698612587
331,mogocha,53.7333,119.7667,265.59,64,43,1.97,RU,1698612367
332,nhlangano,-27.1167,31.2,280.24,86,100,3.09,SZ,1698612588
333,san luis de la loma,17.2706,-100.8939,302.2,77,31,3.56,MX,1698612408
334,portland,45.5234,-122.6762,288.7,40,0,7.72,US,1698612318
335,ji'an,27.1172,114.9793,291.2,85,2,0.58,CN,1698612588
336,maceio,-9.6658,-35.7353,299.84,73,20,5.66,BR,1698612309
337,alice springs,-23.7,133.8833,286.9,19,42,0.51,AU,1698612358
338,port jervis,41.3751,-74.6927,283.61,95,100,1.34,US,1698612445
339,sao vicente,-23.9631,-46.3919,300.25,72,100,2.68,BR,1698612474
340,pacific grove,36.6177,-121.9166,297.9,20,0,3.6,US,1698612141
341,tomatlan,19.9333,-105.25,302.39,75,78,3.66,MX,1698612589
342,kavaratti,10.5669,72.642,301.55,68,99,0.53,IN,1698612589
343,ocean shores,46.9737,-124.1563,287.56,57,0,6.69,US,1698612589
344,kapuskasing,49.4169,-82.4331,274.15,69,75,4.63,CA,1698612140
345,ksar chellala,35.2122,2.3189,293.25,26,87,4.87,DZ,1698612589
346,kembe,4.6228,21.8865,294.86,93,98,1.38,CF,1698612590
347,benghazi,32.1167,20.0667,296.2,72,7,5.24,LY,1698612590
348,lusambo,-4.9667,23.45,298.46,75,98,0.95,CD,1698612590
349,palmares do sul,-30.2578,-50.5097,297.11,77,97,3.16,BR,1698612590
350,oyama,36.3,139.8,288.48,61,1,0.58,JP,1698612590
351,cajaruro,-5.7364,-78.4256,305.12,42,100,3.4,PE,1698612590
352,keetmanshoop,-26.5833,18.1333,293.16,10,38,7.14,NA,1698612590
353,hillsborough,37.5741,-122.3794,295.9,19,0,2.57,US,1698612423
354,vorkuta,67.5,64.0,255.71,97,25,2.14,RU,1698612448
355,arar,30.9753,41.0381,297.16,38,75,6.17,SA,1698612591
356,stanley,54.868,-1.6985,281.92,95,75,3.09,GB,1698612430
357,alappuzha,9.49,76.3264,299.26,82,100,2.47,IN,1698612591
358,keelung,25.1283,121.7419,297.07,84,91,2.77,TW,1698612591
359,bugene,-1.5911,31.1403,288.16,93,3,1.34,TZ,1698612592
360,yuzhno-kurilsk,44.0306,145.8556,281.14,76,5,2.58,RU,1698612422
361,oruro,-17.9833,-67.15,291.08,6,67,4.46,BO,1698612359
